batchId,cultivar,maturationIndex,moistureContent,oilContent,defectIndex,malaxationTemperature,malaxationTime,waterFlowRate,waterToPasteRatio,yieldPercentage,totalPhenols,freeAcidity,peroxideValue,k232,k270,deltaK,fruity,bitter,pungent,isEvooCompliant
batch014,Galega,4.16,56.74,15.11,0.06,28.9,32.8,1.94,11.2,13.12,338.48,0.3,5.0,1.43,0.14,0.0065,3.8,3.3,4.3,True
batch015,Arbequina,2.71,53.29,19.47,0.72,27.2,38.2,1.68,0.4,13.38,480.03,1.33,5.58,1.52,0.24,0.0101,5.0,4.5,5.7,False
batch016,Picual,3.48,46.86,17.36,0.01,21.4,52.5,1.09,2.2,13.08,267.96,0.28,7.42,1.53,0.14,0.0049,4.3,2.9,3.5,True
batch017,Arbequina,2.08,49.92,20.91,0.32,20.1,43.9,2.21,15.0,13.93,280.31,0.77,4.41,1.5,0.17,0.007,4.2,2.8,3.3,False
batch018,Galega,4.03,54.22,17.32,0.22,21.3,47.7,0.1,8.1,12.66,260.01,0.62,4.85,1.42,0.18,0.0088,4.5,2.6,3.2,False
batch019,Cobrançosa,4.23,51.28,17.76,0.36,26.4,38.1,0.32,7.5,14.94,314.08,0.77,5.94,1.51,0.19,0.007,5.0,2.6,3.8,False
batch020,Picual,3.58,57.14,16.01,0.07,23.1,27.8,0.8,3.4,13.08,406.73,0.33,2.0,1.34,0.14,0.0069,4.4,4.2,5.1,True
batch021,Cobrançosa,3.27,53.34,18.21,0.04,24.3,43.7,0.68,9.2,16.79,325.48,0.34,5.9,1.58,0.13,0.0055,4.8,3.3,3.9,True
batch022,Picual,2.51,52.57,20.94,0.27,22.5,45.7,0.93,8.7,16.36,336.63,0.69,5.06,1.59,0.16,0.0069,4.7,3.2,4.0,False
batch023,Galega,3.7,49.73,18.81,0.4,23.5,29.1,1.56,12.2,14.96,344.0,0.79,2.32,1.37,0.16,0.0092,4.8,3.2,4.2,False
batch024,Picual,2.59,52.69,19.19,0.31,29.9,42.3,0.84,5.3,15.62,406.74,0.73,7.7,1.63,0.2,0.0069,3.4,3.9,4.4,False
batch025,Picual,3.15,57.74,19.76,0.11,28.0,36.7,0.88,6.5,17.26,421.72,0.39,5.87,1.59,0.15,0.0063,4.4,4.3,5.2,True
batch026,Galega,3.86,51.95,20.77,0.04,26.7,50.3,2.27,3.2,18.92,323.87,0.36,8.01,1.7,0.14,0.0068,5.0,3.2,4.0,True
batch027,Arbequina,3.37,45.65,16.87,0.1,24.5,26.4,0.58,3.2,14.7,433.21,0.38,2.0,1.42,0.13,0.0051,5.1,4.1,5.0,True
batch028,Arbequina,2.28,48.92,14.31,0.76,28.9,44.1,0.98,4.5,9.83,410.89,1.42,7.37,1.66,0.25,0.0111,4.3,4.1,5.0,False
batch029,Arbequina,3.86,57.48,14.54,0.46,24.6,49.6,1.27,13.0,10.27,240.23,0.98,7.54,1.58,0.2,0.0084,5.0,2.6,2.9,False
batch030,Arbequina,3.16,55.06,19.54,0.24,26.8,53.2,2.8,2.2,14.66,306.99,0.65,8.54,1.76,0.16,0.0058,5.1,3.0,3.5,False
batch031,Picual,1.83,45.04,18.83,0.21,27.0,52.4,0.62,4.6,15.18,354.05,0.62,8.03,1.61,0.15,0.0066,5.1,3.8,4.5,False
batch032,Picual,2.77,45.45,19.53,0.65,31.3,40.1,0.8,12.6,13.25,327.95,1.21,7.8,1.66,0.21,0.0097,2.9,3.7,4.5,False
batch033,Arbequina,2.99,52.43,17.87,0.26,31.0,54.1,1.76,3.1,12.19,296.13,0.72,11.4,1.81,0.18,0.0054,3.1,3.0,3.2,False
batch034,Cobrançosa,3.17,52.54,20.63,0.06,21.7,53.6,2.52,7.3,14.54,246.53,0.38,6.6,1.6,0.14,0.0058,4.6,2.4,2.9,True
batch035,Cobrançosa,2.52,52.1,17.22,0.07,28.1,31.2,1.74,3.5,16.26,494.56,0.33,4.25,1.46,0.14,0.0053,4.7,4.4,5.9,True
batch036,Galega,2.48,50.07,18.15,0.24,31.5,52.4,0.35,13.9,13.13,249.01,0.65,11.57,1.83,0.17,0.0069,2.7,2.5,3.0,False
batch037,Galega,2.58,47.39,18.17,0.72,29.0,48.1,2.82,5.3,12.5,349.2,1.35,8.5,1.7,0.25,0.0119,4.0,3.3,4.0,False
batch038,Cobrançosa,3.88,48.59,21.14,0.22,26.1,25.9,1.87,12.7,17.62,350.1,0.55,3.13,1.39,0.16,0.0071,5.3,3.6,4.1,False
batch039,Cobrançosa,3.09,50.51,19.99,0.04,26.5,50.7,2.17,6.6,18.26,300.8,0.42,8.09,1.56,0.15,0.0054,4.8,3.0,3.9,True
batch040,Cobrançosa,3.13,56.11,14.5,0.14,28.3,39.1,1.82,4.0,12.73,409.08,0.48,6.74,1.62,0.16,0.0049,4.2,4.1,4.9,True
batch041,Galega,2.98,52.43,16.29,0.1,24.4,53.9,2.86,14.2,12.52,222.47,0.46,8.92,1.62,0.15,0.0066,4.6,2.3,2.6,True
batch042,Galega,4.25,48.17,16.22,0.12,22.9,42.5,2.41,1.6,14.15,321.72,0.46,5.25,1.46,0.14,0.0074,4.9,3.3,3.4,True
batch043,Arbequina,2.79,55.27,16.66,0.58,21.1,38.4,1.66,4.2,10.21,373.02,1.12,2.88,1.38,0.2,0.0105,4.8,3.7,4.3,False
batch044,Picual,3.01,49.02,19.08,0.54,28.3,51.4,1.9,12.1,13.69,286.5,1.12,9.52,1.79,0.2,0.0102,4.8,3.0,3.2,False
batch045,Cobrançosa,4.35,57.57,16.62,0.19,27.7,41.3,2.18,1.4,14.06,363.18,0.52,6.62,1.62,0.14,0.0077,4.6,4.0,4.8,True
batch046,Picual,3.3,56.02,20.45,0.21,22.5,46.4,0.69,4.4,15.77,313.15,0.57,6.54,1.57,0.15,0.0061,4.7,3.3,3.7,False
batch047,Galega,4.49,57.17,16.78,0.71,20.6,54.1,0.52,11.3,7.35,197.09,1.38,6.32,1.52,0.24,0.0107,4.2,2.1,2.6,False
batch048,Galega,2.08,55.4,19.16,0.18,23.2,53.6,2.3,4.8,13.54,284.44,0.58,7.23,1.61,0.16,0.0072,4.7,2.7,3.5,True
batch049,Picual,2.94,49.99,20.26,0.74,31.2,41.6,0.86,7.8,13.19,365.83,1.34,8.95,1.74,0.24,0.0107,2.7,3.8,4.5,False
batch050,Picual,3.69,51.01,19.57,0.76,27.6,42.2,2.05,4.3,13.6,346.61,1.4,7.13,1.57,0.24,0.0125,4.6,3.3,3.8,False
batch051,Cobrançosa,2.42,51.93,20.7,0.52,24.6,51.4,1.86,3.0,14.23,328.67,1.11,6.98,1.61,0.19,0.0098,4.6,3.3,4.0,False
batch052,Galega,3.7,53.19,16.67,0.13,27.0,37.5,0.59,0.3,15.33,418.61,0.42,5.4,1.59,0.15,0.0061,5.4,4.1,4.9,True
batch053,Arbequina,2.12,53.83,15.93,0.41,31.1,39.8,0.09,4.3,11.41,429.13,0.91,8.12,1.69,0.2,0.0077,3.2,4.3,5.0,False
batch054,Cobrançosa,4.04,50.81,15.64,0.09,31.2,27.8,2.14,3.8,13.22,425.5,0.35,5.45,1.55,0.14,0.0067,3.2,4.3,5.0,True
batch055,Picual,2.68,49.25,19.0,0.37,31.9,39.3,0.14,4.5,14.37,396.92,0.75,8.78,1.62,0.18,0.0075,2.6,3.9,4.6,False
batch056,Picual,2.43,50.22,21.5,0.37,24.7,49.3,2.59,6.4,17.11,328.14,0.86,6.83,1.64,0.18,0.0089,5.1,3.3,3.8,False
batch057,Picual,1.88,46.44,21.31,0.14,31.4,46.4,2.66,9.3,18.07,360.58,0.49,10.1,1.74,0.15,0.0057,3.0,3.4,4.2,True
batch058,Picual,4.38,49.16,17.19,0.55,30.5,27.0,0.24,13.2,12.21,322.22,1.05,5.3,1.53,0.21,0.0095,3.5,2.9,3.8,False
batch059,Picual,3.19,50.48,16.85,0.22,23.3,31.2,1.61,1.6,13.99,454.99,0.53,2.76,1.42,0.16,0.0062,4.5,4.7,5.5,False
batch060,Picual,2.67,54.38,21.86,0.54,25.5,47.3,0.16,12.5,15.87,281.73,1.11,8.22,1.7,0.2,0.0105,4.8,3.1,3.3,False
batch061,Cobrançosa,2.71,49.31,20.64,0.16,29.8,45.0,2.76,3.6,18.6,398.89,0.54,8.45,1.69,0.14,0.0059,3.7,4.0,4.6,True
batch062,Arbequina,4.45,54.76,18.53,0.17,20.0,26.6,0.58,13.1,11.66,255.43,0.46,2.0,1.24,0.13,0.0069,4.5,2.4,3.0,True
batch063,Picual,2.91,49.08,20.96,0.51,28.4,33.1,1.79,7.0,16.44,433.67,1.01,4.96,1.58,0.2,0.0089,4.3,4.7,5.2,False
batch064,Cobrançosa,4.44,51.79,18.65,0.09,30.3,28.6,0.5,7.7,16.37,381.15,0.33,5.43,1.53,0.14,0.0066,3.0,3.8,4.7,True
batch065,Galega,1.98,56.43,20.92,0.41,27.8,43.5,2.69,11.3,16.56,360.69,0.88,7.05,1.61,0.2,0.0082,4.4,3.8,3.9,False
batch066,Arbequina,4.34,57.02,15.69,0.25,27.5,33.4,0.69,6.0,13.67,382.86,0.58,5.02,1.59,0.17,0.0068,4.7,3.9,4.3,False
batch067,Picual,3.99,50.42,21.7,0.02,22.7,49.1,2.12,0.2,19.1,297.05,0.32,6.21,1.48,0.12,0.0057,4.8,3.0,3.6,True
batch068,Arbequina,3.93,57.63,17.76,0.4,31.3,42.5,0.14,0.5,12.57,361.07,0.86,8.64,1.76,0.18,0.0088,2.9,3.5,4.2,False
batch069,Cobrançosa,2.51,52.79,20.88,0.25,31.5,40.7,2.87,8.9,16.0,364.15,0.67,8.83,1.71,0.15,0.0088,2.6,3.3,4.5,False
batch070,Picual,2.58,54.9,16.06,0.12,24.1,33.1,0.46,1.2,13.69,462.99,0.43,2.74,1.3,0.14,0.0072,4.9,4.7,5.4,True
batch071,Galega,3.7,53.03,15.7,0.24,23.6,29.1,2.72,8.2,13.27,377.1,0.58,2.42,1.33,0.16,0.0056,4.5,3.7,4.7,False
batch072,Picual,3.02,48.38,17.0,0.38,29.0,48.1,1.16,10.0,13.84,294.66,0.87,8.81,1.69,0.17,0.0098,3.7,2.9,3.5,False
batch073,Cobrançosa,3.6,45.24,18.17,0.16,30.3,42.2,0.58,2.4,15.93,385.66,0.52,8.18,1.69,0.15,0.0069,3.5,3.3,4.6,True
batch074,Cobrançosa,2.76,50.33,14.93,0.16,27.1,35.5,1.82,11.0,13.77,381.59,0.48,5.01,1.55,0.14,0.0068,4.9,3.5,4.7,True
batch075,Galega,3.5,48.64,16.61,0.41,20.8,54.6,2.4,9.7,9.13,216.53,0.9,6.56,1.59,0.18,0.0073,4.4,2.1,2.9,False
batch076,Arbequina,3.44,56.48,20.3,0.19,24.0,36.4,2.45,11.4,16.84,335.31,0.52,4.35,1.52,0.14,0.006,4.6,3.5,4.0,True
batch077,Galega,2.89,55.04,15.63,0.39,26.8,50.6,1.28,9.3,11.39,307.66,0.85,8.21,1.68,0.19,0.0103,4.9,3.4,3.5,False
batch078,Cobrançosa,2.65,54.32,15.41,0.46,23.5,44.8,1.99,7.8,11.36,333.82,0.97,6.14,1.52,0.2,0.0087,4.5,3.2,4.0,False
batch079,Picual,3.67,51.59,15.43,0.43,22.9,48.1,1.14,14.6,11.33,233.83,0.98,6.38,1.62,0.2,0.0101,4.7,2.2,2.9,False
batch080,Cobrançosa,2.92,52.7,21.89,0.05,20.2,25.0,2.57,13.7,14.36,349.16,0.26,2.0,1.38,0.13,0.006,4.3,3.1,4.2,True
batch081,Arbequina,2.38,52.58,15.77,0.03,26.3,31.9,0.53,1.9,15.14,505.11,0.24,2.89,1.42,0.12,0.0046,5.1,5.1,6.2,True
batch082,Arbequina,3.15,57.84,21.74,0.27,32.0,25.8,2.62,8.2,14.39,413.63,0.61,4.91,1.55,0.16,0.0075,2.3,4.2,5.2,False
batch083,Picual,3.27,57.7,15.09,0.49,23.3,29.1,1.57,10.6,10.51,373.78,0.95,2.73,1.43,0.19,0.0064,4.5,3.5,4.2,False
batch084,Cobrançosa,4.33,49.45,17.82,0.05,26.5,29.7,2.53,12.0,17.43,335.58,0.3,4.41,1.49,0.13,0.0049,4.8,3.4,4.1,True
batch085,Galega,4.19,51.31,21.08,0.04,29.7,47.7,1.43,11.5,19.58,267.14,0.36,10.6,1.82,0.14,0.0059,3.6,2.4,3.2,True
batch086,Galega,3.0,48.78,14.52,0.06,21.1,37.8,0.95,4.3,11.4,364.78,0.29,2.67,1.44,0.13,0.0054,4.3,3.6,4.1,True
batch087,Cobrançosa,2.34,52.16,18.69,0.24,29.2,53.2,1.84,6.0,14.07,350.14,0.64,10.11,1.71,0.18,0.0068,3.5,3.0,4.0,False
batch088,Arbequina,4.01,50.44,21.07,0.18,20.5,49.5,2.01,13.9,14.64,192.86,0.59,5.96,1.54,0.15,0.0067,4.6,1.8,2.1,True
batch089,Arbequina,2.52,55.01,15.13,0.86,27.3,50.6,1.92,12.3,8.91,284.5,1.59,8.64,1.69,0.26,0.0142,4.5,2.9,3.4,False
batch090,Picual,3.72,47.7,20.86,0.74,31.3,45.4,2.05,0.4,13.47,350.98,1.38,9.75,1.69,0.23,0.0113,2.9,3.5,4.1,False
batch091,Galega,4.43,55.08,18.15,0.52,30.6,51.1,1.44,7.8,11.89,268.15,1.07,10.45,1.86,0.19,0.0088,3.3,2.2,2.8,False
batch092,Cobrançosa,1.91,45.08,15.72,0.16,27.0,35.8,0.08,2.0,14.7,510.13,0.5,4.36,1.47,0.15,0.008,4.7,5.4,6.2,True
batch093,Galega,3.31,49.56,16.62,0.19,25.9,39.6,0.86,5.8,15.36,363.74,0.55,5.9,1.61,0.15,0.0063,5.1,3.3,4.3,True
batch094,Cobrançosa,2.65,50.03,15.16,0.22,21.8,45.0,2.56,11.1,12.17,296.28,0.64,5.54,1.55,0.15,0.0078,4.8,2.7,3.5,False
batch095,Galega,1.99,46.48,19.52,0.49,31.4,33.1,1.82,11.6,13.74,425.34,0.96,5.93,1.51,0.19,0.0108,3.2,4.4,5.0,False
batch096,Picual,2.5,50.1,16.38,0.3,25.1,50.3,2.49,9.9,13.46,282.39,0.77,8.12,1.73,0.18,0.0068,4.6,2.9,3.4,False
batch097,Galega,1.88,45.63,19.69,0.19,22.0,38.9,2.98,6.0,16.22,402.97,0.51,3.49,1.39,0.15,0.0059,4.7,4.0,4.6,True
batch098,Galega,3.22,52.65,19.3,0.35,27.7,35.2,1.07,1.7,16.11,456.28,0.74,5.91,1.59,0.18,0.0086,4.7,4.5,5.1,False
batch099,Galega,2.64,50.54,20.06,0.91,27.7,47.1,1.56,6.1,12.55,350.73,1.65,8.64,1.7,0.26,0.0109,4.6,3.7,4.1,False
batch100,Galega,2.01,55.03,21.35,0.04,24.1,32.5,1.04,0.9,19.16,510.36,0.28,2.0,1.29,0.14,0.0056,4.9,5.3,6.4,True
batch101,Cobrançosa,3.64,45.34,18.99,0.12,25.2,29.4,0.1,6.4,17.99,400.05,0.37,3.16,1.37,0.16,0.0058,4.7,4.1,4.7,True
batch102,Galega,4.26,49.6,17.09,0.36,25.9,53.7,1.39,10.2,12.5,210.17,0.84,9.0,1.7,0.18,0.0085,4.8,2.4,2.5,False
batch103,Cobrançosa,3.65,45.03,14.72,0.72,27.2,33.4,0.39,10.6,10.14,362.73,1.29,5.23,1.56,0.23,0.0118,5.3,3.7,4.2,False
batch104,Picual,2.06,48.44,18.76,0.33,24.9,27.6,0.99,13.3,15.29,407.57,0.67,2.0,1.31,0.17,0.0083,5.0,4.1,4.7,False
batch105,Picual,4.25,47.39,15.77,0.45,24.2,50.3,1.73,9.0,11.82,243.92,0.97,7.88,1.59,0.19,0.0085,4.7,2.3,3.0,False
batch106,Picual,3.66,55.89,21.02,0.67,30.4,47.8,0.02,13.0,13.53,268.31,1.29,9.28,1.75,0.24,0.0129,3.5,2.7,3.1,False
batch107,Picual,2.02,54.24,17.68,0.67,25.3,49.5,0.92,4.8,12.09,366.31,1.3,7.89,1.6,0.24,0.01,5.0,3.6,3.8,False
batch108,Arbequina,1.88,57.62,17.51,0.46,29.7,47.2,0.79,5.5,12.77,402.92,1.0,8.36,1.67,0.2,0.0081,3.8,4.2,5.0,False
batch109,Galega,2.67,48.96,16.48,0.43,30.2,37.2,2.62,14.5,13.04,342.01,0.89,6.85,1.53,0.19,0.0085,3.4,3.5,3.7,False
batch110,Arbequina,3.73,57.66,14.16,0.21,25.2,36.6,0.81,6.3,11.82,369.07,0.56,5.53,1.6,0.15,0.0069,4.9,3.9,4.9,False
batch111,Cobrançosa,3.06,57.18,19.46,0.11,20.6,43.1,0.74,12.4,14.2,263.8,0.43,3.29,1.4,0.14,0.0072,4.3,2.8,3.5,True
batch112,Arbequina,4.48,53.06,15.52,0.01,22.9,41.0,2.76,0.5,13.59,353.6,0.29,5.02,1.54,0.13,0.0063,4.8,3.8,4.4,True
batch113,Arbequina,2.01,57.26,19.21,0.05,24.1,53.3,0.78,11.4,14.6,274.12,0.43,7.94,1.68,0.15,0.0056,4.8,2.7,3.5,True
batch114,Cobrançosa,3.43,49.37,14.76,0.01,27.2,31.8,1.29,3.9,14.43,444.71,0.23,3.84,1.51,0.13,0.0041,4.7,4.5,5.9,True
batch115,Arbequina,3.35,55.91,20.53,0.64,31.6,34.5,1.94,9.0,12.77,374.03,1.19,6.55,1.58,0.21,0.0097,2.9,3.7,4.7,False
batch116,Cobrançosa,3.44,48.85,15.55,0.55,26.5,45.2,1.59,3.7,12.34,341.38,1.11,5.92,1.58,0.21,0.0093,5.0,3.6,3.8,False
batch117,Arbequina,2.98,50.42,16.19,0.42,26.9,33.3,1.69,0.2,13.5,489.84,0.88,5.03,1.53,0.19,0.0099,4.9,4.8,5.9,False
batch118,Picual,1.88,57.13,16.2,0.01,26.7,34.7,1.29,12.1,14.9,411.94,0.26,4.24,1.46,0.13,0.0055,5.0,4.1,4.9,True
batch119,Picual,3.75,45.26,18.3,0.46,21.8,29.3,2.65,4.0,13.07,386.31,0.92,2.0,1.35,0.19,0.0092,4.5,3.9,4.5,False
batch120,Arbequina,3.41,55.14,17.99,0.68,23.8,29.6,0.76,0.8,12.12,453.2,1.24,2.0,1.39,0.22,0.0112,4.7,4.2,5.4,False
batch121,Galega,1.83,53.41,19.81,0.15,22.5,38.8,0.16,6.1,16.16,406.47,0.45,3.98,1.46,0.13,0.0071,4.0,4.3,5.0,True
batch122,Galega,3.39,49.87,17.14,0.2,29.7,28.7,2.41,3.4,15.14,472.95,0.47,5.27,1.56,0.14,0.0073,3.8,4.5,5.6,True
batch123,Picual,2.81,48.25,15.9,0.22,28.9,32.4,2.42,8.3,14.38,430.19,0.55,4.86,1.48,0.15,0.0069,4.4,4.3,5.0,False
batch124,Galega,2.52,49.38,19.24,0.04,25.1,48.9,2.86,7.9,18.07,309.07,0.34,7.95,1.59,0.13,0.0059,4.7,3.0,3.6,True
batch125,Galega,2.4,45.9,17.45,0.96,30.0,40.7,2.18,7.2,10.02,423.9,1.71,9.01,1.71,0.27,0.0128,3.5,4.3,5.0,False
batch126,Picual,2.13,57.44,17.69,0.52,29.9,41.7,0.01,4.8,12.69,467.15,1.07,7.77,1.62,0.2,0.0093,3.6,4.7,5.9,False
batch127,Picual,3.33,45.78,15.51,0.44,23.4,44.0,1.02,10.9,11.86,288.44,0.91,6.08,1.56,0.21,0.0089,4.6,2.7,3.3,False
batch128,Arbequina,3.97,57.91,16.05,0.15,28.2,35.9,0.58,8.7,13.77,356.69,0.45,5.4,1.49,0.14,0.0073,4.5,3.1,4.1,True
batch129,Picual,3.85,45.54,21.62,0.35,26.4,45.5,0.13,1.2,18.56,367.2,0.82,7.64,1.63,0.19,0.0103,4.8,3.6,4.4,False
batch130,Arbequina,3.08,49.33,18.85,0.12,24.9,50.0,0.1,12.1,16.65,287.44,0.48,8.46,1.65,0.13,0.0075,4.8,3.0,3.7,True
batch131,Picual,1.89,55.2,15.47,0.69,27.0,47.6,1.47,10.6,10.33,333.71,1.32,7.32,1.64,0.24,0.0095,4.8,3.8,4.0,False
batch132,Cobrançosa,3.91,53.09,14.05,0.02,30.7,30.9,2.63,3.8,12.61,433.7,0.22,5.37,1.47,0.12,0.0041,3.2,4.3,5.5,True
batch133,Arbequina,4.13,45.2,21.21,0.46,24.2,27.3,2.59,12.5,15.82,313.59,0.88,2.59,1.34,0.19,0.0093,4.7,3.0,4.0,False
batch134,Cobrançosa,3.6,49.2,21.73,0.05,31.8,46.4,2.73,4.1,18.56,309.67,0.38,10.03,1.78,0.15,0.0078,2.7,3.1,3.4,True
batch135,Picual,4.21,51.61,16.39,0.59,28.5,47.5,1.58,7.9,11.82,275.93,1.18,10.0,1.73,0.2,0.0099,4.4,2.7,2.9,False
batch136,Galega,3.05,51.4,18.83,0.45,28.9,35.1,1.25,7.0,14.93,416.2,0.92,5.88,1.59,0.18,0.0067,4.1,4.4,5.0,False
batch137,Galega,4.42,56.79,20.09,0.03,29.2,50.2,1.13,9.6,16.62,266.51,0.35,9.53,1.81,0.14,0.0057,3.9,2.5,3.1,True
batch138,Galega,3.96,48.69,14.35,0.27,22.6,51.2,2.9,7.6,10.46,256.01,0.69,6.77,1.56,0.16,0.0081,4.6,2.5,2.8,False
batch139,Galega,1.96,57.04,20.64,0.03,28.4,46.2,0.28,0.4,18.77,459.97,0.34,8.2,1.65,0.13,0.0067,4.2,4.8,5.9,True
batch140,Cobrançosa,2.05,57.71,16.43,0.33,20.6,54.3,0.03,5.3,8.42,287.99,0.81,6.38,1.57,0.19,0.0072,4.1,2.8,3.8,False
batch141,Galega,2.7,49.34,14.44,0.33,20.6,41.1,1.91,13.9,9.89,294.23,0.73,3.83,1.49,0.18,0.0072,4.4,3.0,3.5,False
batch142,Galega,4.28,49.87,16.71,0.48,26.3,49.0,1.08,10.8,13.19,245.97,1.01,7.59,1.58,0.21,0.0093,5.0,2.5,3.1,False
batch143,Cobrançosa,3.38,53.65,18.04,0.01,31.8,39.1,1.69,8.2,15.57,355.65,0.25,8.11,1.61,0.12,0.0054,3.1,3.5,4.4,True
batch144,Picual,3.78,47.51,14.99,0.04,29.5,43.7,2.15,3.9,14.35,346.06,0.32,8.63,1.69,0.13,0.0075,3.7,3.5,4.5,True
batch145,Galega,2.47,56.3,16.21,0.2,26.3,25.6,1.85,0.5,12.75,543.84,0.48,2.0,1.41,0.16,0.0042,5.2,5.4,6.5,True
batch146,Galega,1.82,55.96,16.24,0.02,31.2,53.6,0.12,2.8,11.86,360.54,0.34,10.06,1.75,0.13,0.0047,3.0,3.4,4.4,True
batch147,Galega,3.03,54.32,15.52,0.5,25.1,29.4,1.59,10.7,11.98,398.89,0.97,2.68,1.4,0.21,0.008,5.1,3.9,5.3,False
batch148,Picual,3.92,56.8,21.52,0.01,30.9,33.5,1.56,8.8,18.16,358.1,0.24,7.11,1.62,0.13,0.0038,3.3,3.6,4.2,True
batch149,Cobrançosa,4.23,47.46,16.02,0.19,21.2,44.6,2.01,4.3,12.33,277.15,0.55,4.04,1.45,0.15,0.0068,4.1,2.8,3.3,True
batch150,Galega,3.17,57.39,18.23,0.37,31.1,30.2,1.89,12.4,12.88,387.41,0.76,6.07,1.51,0.16,0.0097,2.5,3.9,4.7,False
batch151,Arbequina,2.75,49.15,16.16,0.68,22.7,51.5,1.53,7.2,9.56,293.12,1.34,6.6,1.61,0.24,0.0113,4.7,2.8,3.6,False
batch152,Cobrançosa,3.07,58.0,17.83,0.21,28.8,46.0,2.61,8.8,14.75,340.58,0.58,8.08,1.62,0.16,0.008,4.1,3.4,3.8,False
batch153,Arbequina,2.91,48.98,16.83,0.16,24.5,50.8,1.97,7.0,13.88,291.69,0.56,6.75,1.64,0.14,0.0059,4.8,2.9,3.4,True
batch154,Picual,3.35,46.45,15.11,0.31,25.1,44.0,0.64,13.2,13.18,270.76,0.71,5.76,1.57,0.16,0.0079,4.5,2.6,3.2,False
batch155,Picual,2.47,57.77,21.49,0.0,24.5,45.9,0.07,9.2,19.13,328.43,0.29,5.89,1.47,0.13,0.0057,4.9,3.1,4.1,True
batch156,Arbequina,3.52,55.82,16.83,0.31,28.5,50.8,2.3,0.4,12.82,336.6,0.79,9.77,1.73,0.18,0.007,4.0,3.7,3.9,False
batch157,Arbequina,4.38,55.52,21.62,0.13,28.4,26.6,1.55,7.9,17.75,376.93,0.4,4.25,1.43,0.13,0.0063,4.1,3.5,4.7,True
batch158,Arbequina,4.35,47.65,14.08,0.1,27.3,43.3,0.25,2.6,13.27,326.32,0.43,6.87,1.55,0.14,0.0068,4.7,3.4,3.8,True
batch159,Picual,4.28,49.72,16.63,0.05,27.3,32.7,2.4,1.7,16.63,415.29,0.27,4.74,1.44,0.12,0.0063,5.1,4.2,4.8,True
batch160,Arbequina,2.52,48.79,18.48,0.44,31.5,48.5,2.22,6.5,13.63,332.44,0.94,10.26,1.76,0.19,0.0086,2.9,3.1,3.8,False
batch161,Cobrançosa,4.11,54.87,20.82,0.15,21.3,40.0,2.64,10.6,15.71,279.47,0.47,2.8,1.32,0.15,0.0063,4.2,2.9,3.3,True
batch162,Galega,3.78,55.67,15.59,0.15,23.0,39.3,1.53,3.4,12.75,341.64,0.48,3.64,1.39,0.14,0.0054,4.4,3.6,4.0,True
batch163,Galega,4.04,57.8,20.79,0.06,24.1,36.7,0.83,13.2,18.02,289.02,0.35,4.56,1.44,0.13,0.0068,4.8,2.9,3.2,True
