batchId,cultivar,maturationIndex,moistureContent,oilContent,defectIndex,malaxationTemperature,malaxationTime,waterFlowRate,waterToPasteRatio,yieldPercentage,totalPhenols,freeAcidity,peroxideValue,k232,k270,deltaK,fruity,bitter,pungent,isEvooCompliant
batch044,Cobrançosa,3.52,53.26,19.09,0.29,28.6,26.8,1.97,9.4,15.2,408.09,0.63,5.21,1.56,0.16,0.0069,3.9,4.4,4.8,False
batch045,Cobrançosa,2.11,45.42,15.23,0.02,21.8,36.9,1.81,2.2,12.87,443.9,0.25,2.74,1.35,0.12,0.0075,4.2,4.4,5.5,True
batch046,Galega,3.71,55.06,15.15,0.5,24.0,47.0,2.19,14.8,10.9,245.68,1.05,7.51,1.63,0.19,0.0108,4.6,2.3,2.7,False
batch047,Picual,2.71,53.3,20.9,0.48,20.9,53.2,2.16,13.7,11.66,216.65,1.05,7.18,1.6,0.2,0.0098,4.2,1.9,2.3,False
batch048,Picual,2.66,57.84,21.75,0.09,24.5,39.7,0.85,11.9,18.93,310.75,0.4,3.89,1.42,0.14,0.005,4.6,3.2,3.5,True
batch049,Arbequina,4.28,50.39,15.85,0.77,31.0,34.7,2.39,3.8,10.14,370.76,1.42,7.51,1.65,0.25,0.0114,3.2,3.5,4.6,False
batch050,Galega,3.11,47.84,16.95,0.05,30.2,41.8,0.64,3.9,15.73,393.19,0.32,7.51,1.59,0.12,0.0059,3.8,4.0,4.7,True
batch051,Picual,2.82,46.82,21.29,0.08,22.3,34.5,2.54,13.9,18.42,332.93,0.31,3.24,1.42,0.15,0.0056,4.9,3.2,3.6,True
batch052,Cobrançosa,3.69,45.26,20.33,0.03,21.6,38.4,1.96,5.0,17.18,327.56,0.28,3.63,1.45,0.15,0.0073,4.6,2.9,3.8,True
batch053,Picual,1.91,51.25,21.73,0.01,31.5,34.1,1.72,3.6,18.71,509.52,0.2,7.05,1.67,0.12,0.0038,2.7,5.0,5.8,True
batch054,Cobrançosa,4.35,51.8,15.86,0.01,20.3,53.8,1.12,10.3,10.2,195.0,0.32,6.96,1.58,0.12,0.008,4.3,2.0,2.4,True
batch055,Cobrançosa,2.22,51.79,15.01,0.87,25.6,28.8,1.51,0.5,9.34,543.27,1.49,2.42,1.28,0.27,0.0114,4.8,5.5,6.8,False
batch056,Picual,2.46,45.04,19.16,0.12,28.6,36.3,0.76,12.1,17.52,393.65,0.44,6.2,1.51,0.16,0.0066,4.5,4.0,4.7,True
batch057,Arbequina,2.05,46.22,15.15,0.13,27.3,44.0,0.45,10.1,14.58,356.7,0.45,7.16,1.56,0.13,0.0074,4.9,3.6,4.6,True
batch058,Arbequina,2.94,57.06,18.3,0.35,21.6,52.6,2.86,9.5,10.96,247.09,0.84,6.85,1.49,0.2,0.0087,4.5,2.4,2.8,False
batch059,Galega,2.1,50.15,15.36,0.48,27.5,28.1,0.32,6.4,12.15,501.52,0.92,3.08,1.36,0.19,0.0081,4.4,5.3,5.9,False
batch060,Arbequina,4.04,55.03,14.1,0.32,31.7,27.6,1.35,4.5,10.06,413.75,0.68,5.68,1.53,0.17,0.0084,2.4,4.3,5.1,False
batch061,Arbequina,2.02,56.2,19.37,0.36,29.4,37.4,2.13,2.6,15.37,501.85,0.73,7.22,1.56,0.18,0.0088,4.2,4.9,5.9,False
batch062,Cobrançosa,3.39,56.67,15.47,0.21,26.6,52.5,1.82,9.0,11.89,259.13,0.62,9.0,1.72,0.15,0.0066,5.1,2.4,3.6,False
batch063,Picual,3.56,48.76,15.1,0.22,26.9,32.4,2.11,6.6,13.51,386.28,0.53,4.79,1.52,0.15,0.0062,5.0,3.9,4.5,False
batch064,Cobrançosa,3.9,47.25,20.84,0.13,23.6,34.9,2.13,11.8,18.65,313.16,0.41,2.84,1.33,0.15,0.0068,4.7,3.2,3.8,True
batch065,Picual,2.94,52.98,19.96,0.13,30.7,37.4,2.24,2.0,17.15,458.16,0.41,7.2,1.54,0.14,0.0056,2.9,4.5,5.7,True
batch066,Galega,3.27,50.18,19.33,0.02,25.9,32.8,2.25,2.4,18.92,449.61,0.27,3.74,1.43,0.13,0.0042,4.9,4.5,5.6,True
batch067,Galega,4.06,50.81,17.14,0.8,28.2,37.1,2.96,5.2,11.38,356.31,1.41,6.61,1.59,0.25,0.0105,4.5,3.7,4.3,False
batch068,Galega,4.31,45.03,14.25,0.01,22.8,46.1,0.82,10.3,13.16,256.14,0.3,6.27,1.58,0.12,0.0054,4.6,2.7,2.8,True
batch069,Picual,2.68,46.91,19.17,0.36,25.5,48.5,1.15,7.5,15.79,306.82,0.83,7.29,1.58,0.18,0.0068,4.5,2.9,3.7,False
batch070,Picual,3.58,56.86,19.52,0.3,24.9,27.1,2.77,11.6,15.3,352.31,0.65,2.86,1.3,0.17,0.0078,4.8,3.4,4.4,False
batch071,Arbequina,3.08,53.55,18.31,0.15,26.3,39.4,0.05,11.9,16.38,335.4,0.49,5.87,1.49,0.14,0.0065,4.9,3.6,4.0,True
batch072,Galega,4.34,45.32,17.33,0.26,30.9,49.4,0.46,5.8,13.75,287.88,0.69,10.8,1.81,0.18,0.0075,3.0,3.3,3.7,False
batch073,Picual,2.6,56.89,15.72,0.0,23.2,39.0,0.25,6.9,13.67,376.73,0.25,4.53,1.5,0.13,0.0029,4.8,3.5,4.8,True
batch074,Arbequina,3.57,46.01,20.06,0.18,30.1,36.8,0.46,3.9,17.82,429.69,0.49,6.75,1.66,0.13,0.0066,3.6,4.4,5.3,True
batch075,Arbequina,4.11,50.87,14.13,0.57,21.9,30.5,2.65,9.0,9.54,345.2,1.07,2.47,1.38,0.22,0.0082,4.5,3.6,4.2,False
batch076,Cobrançosa,3.77,56.15,17.99,0.02,31.8,33.9,2.18,0.4,14.82,415.56,0.24,6.11,1.57,0.12,0.0048,2.9,4.4,5.1,True
batch077,Galega,2.56,54.99,20.1,0.07,24.9,53.4,1.38,14.8,15.29,242.63,0.43,8.21,1.65,0.15,0.0057,5.0,2.3,3.0,True
batch078,Galega,1.89,47.22,20.2,0.33,31.9,27.1,0.12,3.5,14.99,521.02,0.66,5.64,1.52,0.18,0.0069,2.8,4.9,6.1,False
batch079,Cobrançosa,1.85,45.78,16.55,0.02,30.5,29.8,1.39,5.0,15.32,526.24,0.23,4.39,1.41,0.13,0.0044,3.2,5.2,6.4,True
batch080,Cobrançosa,3.4,54.73,19.86,0.38,26.9,53.7,2.77,4.7,13.24,288.8,0.87,9.76,1.76,0.18,0.0081,5.3,2.7,3.1,False
batch081,Arbequina,2.34,49.34,21.46,0.24,26.3,53.7,2.15,1.3,16.77,346.92,0.64,8.69,1.69,0.17,0.0064,5.2,3.1,3.8,False
batch082,Galega,3.88,55.04,18.34,0.38,20.7,42.1,0.67,11.1,12.04,263.95,0.83,4.04,1.36,0.17,0.0085,4.6,2.8,3.1,False
batch083,Picual,4.0,57.39,17.5,0.01,31.6,43.4,2.03,11.0,14.63,266.11,0.25,7.99,1.74,0.12,0.0052,2.4,2.8,3.5,True
batch084,Galega,2.46,48.88,21.61,0.17,31.7,35.9,0.92,3.9,17.92,460.99,0.5,6.98,1.58,0.15,0.0064,2.9,5.2,5.6,True
batch085,Galega,3.56,53.2,21.93,0.21,26.6,43.2,1.23,7.7,19.37,310.92,0.59,7.33,1.66,0.16,0.0077,5.1,3.3,3.6,False
batch086,Arbequina,2.61,45.72,14.44,0.19,27.4,39.8,1.49,8.8,13.38,378.19,0.51,6.04,1.6,0.16,0.0085,4.9,4.0,4.5,True
batch087,Picual,3.15,51.44,15.5,0.11,23.2,48.9,1.55,11.5,13.5,260.93,0.47,7.33,1.67,0.14,0.0066,4.9,2.6,2.9,True
batch088,Picual,2.26,55.29,20.89,0.56,20.8,38.6,0.99,9.7,12.09,357.79,1.1,3.26,1.41,0.19,0.0098,4.5,3.7,4.2,False
batch089,Picual,4.0,56.57,21.83,0.41,22.7,35.0,0.77,12.1,15.34,289.7,0.86,4.0,1.43,0.19,0.0081,4.6,3.1,3.4,False
batch090,Cobrançosa,4.44,45.78,16.18,0.39,29.8,37.8,1.38,5.9,12.98,355.94,0.8,7.22,1.61,0.19,0.0066,3.4,3.5,4.0,False
batch091,Arbequina,3.83,52.84,20.72,0.6,25.1,40.6,1.4,14.1,14.86,271.57,1.15,5.54,1.63,0.21,0.0102,5.0,2.8,3.3,False
batch092,Cobrançosa,2.38,49.87,14.82,0.11,23.7,48.4,1.46,14.4,12.94,257.26,0.46,7.2,1.56,0.14,0.0068,4.3,2.6,3.2,True
batch093,Galega,3.12,49.83,20.65,0.26,24.1,40.9,0.02,14.2,17.73,272.13,0.66,5.55,1.57,0.17,0.009,5.1,2.8,3.8,False
batch094,Arbequina,2.98,47.28,20.62,0.5,20.1,44.9,0.14,6.0,12.65,298.39,1.02,4.34,1.39,0.19,0.0102,4.4,2.7,3.5,False
batch095,Arbequina,3.97,48.8,15.68,0.22,22.2,49.1,1.65,3.2,12.34,293.69,0.68,6.11,1.46,0.16,0.0071,4.6,3.0,3.7,False
batch096,Picual,4.17,57.63,14.63,0.33,30.7,54.4,2.98,9.5,9.14,242.41,0.82,10.71,1.78,0.17,0.0073,3.1,2.2,3.0,False
batch097,Cobrançosa,2.08,56.89,18.1,0.52,28.5,51.6,2.35,2.0,12.18,377.5,1.1,8.93,1.74,0.2,0.0111,4.3,3.9,4.7,False
batch098,Picual,2.57,47.8,18.29,0.19,21.7,50.4,1.82,7.4,13.89,289.56,0.6,6.52,1.49,0.16,0.0084,4.7,2.9,3.2,True
batch099,Cobrançosa,2.25,46.51,15.59,0.68,20.5,40.6,2.54,2.1,8.87,412.85,1.29,2.98,1.49,0.22,0.0124,4.3,4.1,4.8,False
batch100,Galega,4.47,49.86,19.79,0.38,27.3,26.2,2.72,3.9,15.46,379.02,0.79,3.7,1.42,0.21,0.0074,4.8,3.8,4.6,False
batch101,Picual,3.2,57.45,18.48,0.11,22.8,53.5,1.87,11.7,12.46,220.68,0.47,7.45,1.65,0.16,0.0077,4.6,2.0,2.4,True
batch102,Galega,3.85,55.49,15.17,0.24,28.6,27.9,0.83,1.8,12.59,438.94,0.55,4.63,1.6,0.16,0.005,3.9,4.2,5.2,False
batch103,Galega,3.86,54.85,17.61,0.12,29.9,51.1,1.07,0.3,13.93,339.08,0.49,10.03,1.75,0.16,0.0067,3.4,2.9,3.9,True
batch104,Picual,3.31,52.76,16.26,0.03,30.8,39.0,1.97,7.5,14.3,381.55,0.29,7.65,1.62,0.13,0.0024,3.0,3.7,4.4,True
batch105,Arbequina,3.38,55.25,15.7,0.1,24.7,44.9,1.59,0.0,14.0,383.22,0.44,5.59,1.52,0.15,0.0052,5.0,3.7,4.8,True
batch106,Galega,4.18,49.25,16.49,0.85,21.7,28.1,1.02,8.7,9.03,334.21,1.43,2.0,1.4,0.25,0.0111,4.6,3.3,3.9,False
batch107,Galega,4.05,56.81,16.97,0.06,30.3,36.1,2.45,12.6,14.59,315.7,0.33,7.29,1.56,0.15,0.0059,3.1,3.2,3.5,True
batch108,Cobrançosa,2.78,52.49,15.21,0.07,26.6,46.8,0.7,12.5,14.36,278.0,0.34,8.71,1.7,0.13,0.004,4.7,2.7,3.2,True
batch109,Galega,3.97,54.76,18.69,0.08,27.3,36.8,2.11,0.2,17.33,414.79,0.36,5.5,1.45,0.13,0.0061,4.8,4.2,5.3,True
batch110,Cobrançosa,3.5,57.53,19.45,0.01,23.6,46.9,1.89,14.9,16.62,226.44,0.32,6.2,1.63,0.15,0.0053,4.5,2.4,2.9,True
batch111,Picual,2.72,49.37,16.27,0.07,30.4,26.6,2.37,12.7,13.92,397.9,0.27,5.14,1.56,0.12,0.0056,3.6,3.8,4.8,True
batch112,Galega,4.02,47.16,15.68,0.07,23.8,35.0,0.27,3.2,14.54,367.59,0.34,3.69,1.46,0.12,0.0046,4.5,3.5,4.3,True
batch113,Arbequina,4.45,56.83,14.6,0.01,29.9,45.8,2.89,7.9,13.07,287.2,0.29,10.16,1.79,0.11,0.0065,3.6,2.7,3.7,True
batch114,Picual,3.77,55.73,16.79,0.33,22.9,28.7,0.14,8.1,12.36,344.65,0.71,2.0,1.36,0.18,0.0074,4.5,3.6,4.0,False
batch115,Picual,2.33,54.97,21.0,0.41,27.2,30.3,0.56,7.5,16.77,472.44,0.82,4.08,1.63,0.19,0.0077,4.8,5.1,5.5,False
batch116,Arbequina,2.33,52.32,16.69,0.19,24.7,37.8,1.37,0.4,14.48,454.85,0.52,3.7,1.46,0.14,0.007,5.1,4.7,5.4,True
batch117,Galega,2.05,53.67,17.45,0.26,26.5,30.6,1.56,14.3,15.31,388.8,0.64,3.64,1.44,0.16,0.0083,4.9,3.9,4.6,False
batch118,Galega,4.47,49.22,18.44,0.28,22.1,42.6,1.92,13.3,14.49,218.75,0.67,4.34,1.45,0.18,0.0072,4.7,2.3,2.4,False
batch119,Cobrançosa,3.84,56.75,18.92,0.1,31.2,28.2,1.01,8.9,15.34,372.43,0.37,5.66,1.53,0.12,0.0058,3.3,3.9,4.9,True
batch120,Arbequina,3.73,52.56,14.13,0.03,22.2,48.1,0.51,4.3,12.05,294.32,0.34,6.27,1.56,0.12,0.0056,4.7,3.2,3.3,True
batch121,Picual,4.2,50.55,18.72,0.1,28.3,27.0,1.89,8.5,16.7,361.3,0.34,3.92,1.44,0.15,0.0043,4.4,3.8,4.3,True
batch122,Cobrançosa,3.91,46.4,16.65,0.29,28.4,31.0,0.37,12.3,14.74,356.12,0.65,4.99,1.57,0.16,0.008,4.4,3.7,3.9,False
batch123,Picual,3.16,54.86,14.39,0.09,23.1,36.0,1.79,8.1,12.27,351.13,0.39,2.66,1.37,0.12,0.0053,4.7,3.5,4.2,True
batch124,Picual,2.46,50.27,18.38,0.31,31.2,32.1,1.03,11.6,14.85,398.3,0.68,4.86,1.52,0.18,0.0071,3.1,4.1,5.0,False
batch125,Cobrançosa,2.47,47.64,21.6,0.1,22.4,54.6,2.63,4.8,15.29,270.07,0.44,6.97,1.62,0.14,0.0036,4.9,2.7,3.0,True
batch126,Cobrançosa,2.36,47.49,15.93,0.24,23.0,38.1,1.84,11.0,13.21,362.13,0.58,3.43,1.37,0.16,0.0079,4.9,3.6,4.2,False
batch127,Picual,3.94,54.33,14.6,0.72,31.2,28.0,0.59,14.0,8.9,346.36,1.27,6.67,1.49,0.24,0.0102,3.0,3.7,4.6,False
batch128,Cobrançosa,2.09,46.47,19.75,0.04,22.1,26.7,0.54,13.6,16.12,359.07,0.24,2.0,1.33,0.12,0.0066,4.2,3.6,4.1,True
batch129,Picual,2.22,51.41,21.93,0.29,22.7,51.8,2.29,7.5,15.69,302.32,0.74,6.98,1.56,0.16,0.0071,4.6,3.3,3.4,False
batch130,Cobrançosa,2.93,52.28,14.14,0.09,20.4,51.6,0.72,13.5,9.08,219.56,0.47,5.6,1.49,0.16,0.0055,4.2,2.5,2.6,True
batch131,Picual,3.38,46.11,15.57,0.36,22.6,28.6,1.05,14.9,11.59,322.39,0.76,2.69,1.34,0.18,0.0087,4.2,3.0,3.7,False
batch132,Arbequina,2.98,52.43,16.82,0.46,27.7,39.0,0.7,13.0,13.41,323.63,0.94,6.16,1.45,0.17,0.008,4.5,3.2,4.2,False
batch133,Arbequina,4.25,50.83,16.21,0.12,21.7,34.1,1.68,3.4,13.29,366.64,0.39,2.0,1.46,0.12,0.006,4.4,3.4,4.0,True
batch134,Cobrançosa,2.01,57.39,17.99,0.89,26.8,27.8,2.99,8.4,10.3,469.17,1.57,3.01,1.41,0.25,0.0112,5.1,4.8,5.6,False
batch135,Picual,2.66,47.18,14.96,0.69,23.1,47.6,2.25,13.3,10.0,271.97,1.33,6.68,1.55,0.23,0.01,4.7,2.9,3.1,False
batch136,Cobrançosa,3.42,53.91,18.63,0.51,24.0,47.8,1.77,0.6,13.43,325.22,1.08,6.71,1.54,0.19,0.0083,5.0,3.6,3.8,False
batch137,Picual,2.64,51.0,18.7,0.02,31.8,49.6,2.16,7.1,15.9,322.18,0.32,10.77,1.77,0.13,0.0053,2.7,3.1,3.7,True
batch138,Arbequina,4.47,52.87,16.13,0.04,21.8,51.5,2.27,1.9,11.89,237.9,0.35,6.27,1.59,0.14,0.007,4.5,2.3,2.8,True
batch139,Picual,3.67,48.25,21.98,0.08,29.4,47.7,3.0,6.2,20.38,302.95,0.4,8.64,1.76,0.14,0.0057,3.9,3.3,3.5,True
batch140,Cobrançosa,3.31,53.3,21.26,0.14,31.9,39.0,1.88,8.1,16.65,334.8,0.45,8.45,1.73,0.11,0.0059,2.6,3.3,3.8,True
batch141,Cobrançosa,1.9,50.53,18.48,0.16,31.2,52.1,0.06,8.8,14.54,327.87,0.57,11.34,1.87,0.16,0.0064,3.3,3.5,4.0,True
batch142,Picual,3.59,57.38,21.12,0.07,23.8,49.5,1.71,13.8,17.25,216.37,0.37,6.91,1.62,0.14,0.0079,4.9,2.0,2.5,True
batch143,Arbequina,2.96,51.66,15.38,0.04,31.4,35.7,1.68,11.8,13.63,357.51,0.29,6.79,1.52,0.14,0.0055,3.0,3.1,4.4,True
batch144,Cobrançosa,4.33,50.12,16.4,0.48,22.6,29.5,2.79,3.5,11.96,356.59,0.92,2.0,1.2,0.2,0.0087,4.4,3.3,4.0,False
batch145,Cobrançosa,2.26,54.22,15.23,0.01,23.3,45.5,1.43,12.8,13.38,303.03,0.32,6.03,1.55,0.11,0.0055,4.8,3.1,3.7,True
batch146,Galega,2.6,54.2,20.06,0.08,28.5,30.4,1.59,9.4,18.66,438.57,0.3,4.75,1.46,0.11,0.0046,4.3,4.2,5.3,True
batch147,Cobrançosa,2.01,52.17,15.15,0.52,30.2,52.0,2.2,14.9,9.72,282.15,1.12,11.17,1.86,0.21,0.0097,3.5,2.7,3.4,False
batch148,Picual,3.69,50.42,16.95,0.16,23.9,48.4,0.91,2.3,14.67,318.91,0.54,6.52,1.57,0.16,0.0078,4.6,3.0,4.1,True
batch149,Picual,1.88,51.26,21.49,0.28,24.8,39.4,2.25,5.5,18.43,425.9,0.63,4.34,1.48,0.16,0.0078,4.8,4.7,5.1,False
batch150,Cobrançosa,3.85,54.05,19.8,0.71,31.3,28.1,2.95,3.5,11.9,432.36,1.28,5.64,1.54,0.25,0.0117,2.5,4.2,5.2,False
batch151,Arbequina,4.15,48.3,19.5,0.3,22.1,46.4,1.3,6.7,15.16,274.07,0.73,4.77,1.49,0.18,0.0095,4.4,2.8,3.0,False
batch152,Picual,1.98,52.72,17.51,0.25,25.3,52.9,0.59,9.9,13.56,285.96,0.71,7.56,1.65,0.18,0.0073,5.0,3.0,3.8,False
batch153,Galega,3.09,48.26,17.0,0.04,29.0,43.0,1.2,5.4,16.36,395.6,0.3,6.83,1.58,0.14,0.0073,3.9,4.0,4.6,True
batch154,Picual,3.19,49.43,19.98,0.28,27.7,27.1,0.63,7.7,17.14,423.22,0.64,4.39,1.41,0.16,0.0069,4.9,4.4,4.9,False
batch155,Cobrançosa,1.9,50.67,17.32,0.18,22.3,28.2,2.38,2.5,13.85,504.65,0.51,2.0,1.4,0.16,0.0054,4.7,4.9,6.1,True
batch156,Picual,3.44,51.9,16.36,0.08,23.8,46.4,1.28,10.6,14.39,269.12,0.41,6.09,1.59,0.13,0.0042,4.6,2.9,3.4,True
batch157,Arbequina,3.92,53.03,17.43,0.01,30.7,34.8,0.12,12.3,15.42,327.41,0.25,7.94,1.71,0.12,0.0064,3.1,3.3,3.9,True
batch158,Cobrançosa,2.26,52.4,16.8,0.03,22.3,52.6,0.51,13.5,12.61,246.05,0.35,6.76,1.64,0.14,0.0064,4.4,2.5,3.0,True
batch159,Arbequina,3.07,52.98,17.86,0.06,20.7,54.1,0.2,11.5,11.17,209.98,0.41,6.65,1.58,0.14,0.0066,4.3,1.8,2.7,True
batch160,Cobrançosa,3.01,54.73,14.61,0.15,20.5,42.5,0.01,2.8,10.25,370.24,0.46,3.06,1.44,0.15,0.0073,5.2,3.8,4.7,True
batch161,Arbequina,2.13,48.5,19.21,0.08,22.0,46.2,2.75,4.1,16.19,372.93,0.42,4.7,1.44,0.13,0.0066,4.7,3.8,4.1,True
batch162,Cobrançosa,2.12,53.62,21.43,0.51,23.6,41.1,0.67,9.0,15.64,359.11,1.0,6.33,1.54,0.2,0.0067,5.0,3.7,4.3,False
